Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,301
Base Time Seconds,1604705902
Base Time Fractional,.792157120
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.003414500962e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:22,.792157120
2,1.038543556708e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0100007150322,Volt DC,.01,T,2W,F,F,11/06/2020,23:38:23,.798038400
3,2.027833900797e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:24,.472350260
4,5.697759597467e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300072655082,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:25,.162722320
5,2.048998126725e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:25,.832750860
6,2.013723765515e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:26,.327630680
7,4.936679953715e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0599982850254,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:27,.328711820
8,1.973587160364e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:27,.998776560
9,5.945677283847e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0799949765205,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:28,.999867020
10,1.980776076493e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:29,.669898600
11,-5.576124631479e-11,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999973788857,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:30,.671003900
12,2.008345845184e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:31,.341042280
13,6.756195047863e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199955642223,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:32,.342167620
14,1.994482268231e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:33,.012238160
15,-3.517005298104e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1399947255850,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:34,.013354560
16,2.085206851632e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:34,.683440440
17,-3.35617617031e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1599945127964,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:35,.684538440
18,2.065774751259e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:36,.354617340
19,4.24678237021e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1799958944321,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:37,.355698760
20,2.061994308633e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:38,.025783660
21,-5.878394992997e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1999973803759,Volt DC,.1,T,2W,F,F,11/06/2020,23:38:39,.026877160
22,2.123593745296e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:38:39,.696964940
23,2.122039788333e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7875337004662,Volt DC,1,T,2W,F,F,11/06/2020,23:38:39,.881129240
24,-5.014253456892e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2300130426884,Volt DC,1,T,2W,F,F,11/06/2020,23:38:40,.882215900
25,2.160743406421e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7724472880363,Volt DC,1,T,2W,F,F,11/06/2020,23:38:41,.552250920
26,2.063187665158e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7318434715271,Volt DC,1,T,2W,F,F,11/06/2020,23:38:42,.047115640
27,4.364850980654e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2599908113480,Volt DC,1,T,2W,F,F,11/06/2020,23:38:43,.048183720
28,2.095945816905e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7345315217972,Volt DC,1,T,2W,F,F,11/06/2020,23:38:43,.718226900
29,-2.481184702141e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2799893617630,Volt DC,1,T,2W,F,F,11/06/2020,23:38:44,.719303860
30,2.145645794371e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7348456978798,Volt DC,1,T,2W,F,F,11/06/2020,23:38:45,.389373700
31,-3.688682692626e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2999829351902,Volt DC,1,T,2W,F,F,11/06/2020,23:38:46,.390464600
32,2.18959979037e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7318632006645,Volt DC,1,T,2W,F,F,11/06/2020,23:38:47,.060534120
33,2.09831991782e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7075278162956,Volt DC,1,T,2W,F,F,11/06/2020,23:38:47,.555418160
34,1.301759144923e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3299852013588,Volt DC,1,T,2W,F,F,11/06/2020,23:38:48,.556515260
35,2.13996660392e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7081778645515,Volt DC,1,T,2W,F,F,11/06/2020,23:38:49,.226590440
36,-4.102245487747e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3499818742275,Volt DC,1,T,2W,F,F,11/06/2020,23:38:50,.227708080
37,2.178064129055e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7052648663521,Volt DC,1,T,2W,F,F,11/06/2020,23:38:50,.897789080
38,-2.279509636605e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3700068593025,Volt DC,1,T,2W,F,F,11/06/2020,23:38:51,.898907600
39,2.180770586335e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.6903759241104,Volt DC,1,T,2W,F,F,11/06/2020,23:38:52,.568943560
40,5.625297450074e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3899986743927,Volt DC,1,T,2W,F,F,11/06/2020,23:38:53,.570087720
41,2.154688871769e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.6824036836624,Volt DC,1,T,2W,F,F,11/06/2020,23:38:54,.240126020
42,2.180504665716e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.6735801100731,Volt DC,1,T,2W,F,F,11/06/2020,23:38:54,.734994380
