Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,301
Base Time Seconds,1604705449
Base Time Fractional,.629282180
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.252828679161e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:30:49,.629282180
2,1.506306412935e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0099988235161,Volt DC,.01,T,2W,F,F,11/06/2020,23:30:50,.635124140
3,2.347399963298e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:30:51,.309376900
4,2.441275182008e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0300022028387,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:51,.999712040
5,2.403155363595e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:30:52,.669738020
6,5.274196634986e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0499988198280,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:53,.670833400
7,2.452489589189e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:30:54,.340874780
8,9.109417220543e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0699956715107,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:55,.341981900
9,2.563673184852e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:30:55,.646289140
10,1.516857217609e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899954065681,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:56,.647382260
11,1.951456063409e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999971702695,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:57,.275850560
12,2.535060872333e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099933534861,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:57,.904299260
13,3.092351974487e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199954524636,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:58,.532796540
14,3.06562704111e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,99099995300309345126152038574218750000.0000000000000,Volt DC,10000000000000,T,2W,F,F,11/06/2020,23:30:58,.837075440
15,4.81442192779e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1399952471256,Volt DC,.1,T,2W,F,F,11/06/2020,23:30:59,.838171100
