Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,301
Base Time Seconds,1604703962
Base Time Fractional,.631133040
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.123677373371e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0042605553754,Volt DC,10,T,2W,F,F,11/06/2020,23:06:02,.631133040
2,-4.547986431902e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0097902212292,Volt DC,10,T,2W,F,F,11/06/2020,23:06:03,.632191100
3,-7.679884506118e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0238346830010,Volt DC,10,T,2W,F,F,11/06/2020,23:06:04,.302201560
4,-1.646771607966e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0339093022048,Volt DC,10,T,2W,F,F,11/06/2020,23:06:05,.489495340
5,-5.909169265017e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0404696948826,Volt DC,10,T,2W,F,F,11/06/2020,23:06:06,.676736140
6,1.152666920246e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0482333302498,Volt DC,10,T,2W,F,F,11/06/2020,23:06:07,.863957780
7,-5.18501686031e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0611849725246,Volt DC,10,T,2W,F,F,11/06/2020,23:06:09,.051199160
8,-4.511429077536e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0707281604409,Volt DC,10,T,2W,F,F,11/06/2020,23:06:10,.238436240
9,1.658851500608e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0555310510099,Volt DC,10,T,2W,F,F,11/06/2020,23:06:11,.425672120
10,-3.756594146864e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0900215208530,Volt DC,10,T,2W,F,F,11/06/2020,23:06:13,.119099120
11,6.907266980605e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0942755192518,Volt DC,10,T,2W,F,F,11/06/2020,23:06:13,.789087820
12,-1.180386566269e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1129224821925,Volt DC,10,T,2W,F,F,11/06/2020,23:06:14,.976350580
13,-2.043774394167e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1535995304585,Volt DC,10,T,2W,F,F,11/06/2020,23:06:15,.471212080
14,-1.155666673469e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1299014389515,Volt DC,10,T,2W,F,F,11/06/2020,23:06:16,.472278460
15,-3.390217620525e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1376351714134,Volt DC,10,T,2W,F,F,11/06/2020,23:06:17,.142251220
16,-5.536435199183e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1480192393064,Volt DC,10,T,2W,F,F,11/06/2020,23:06:18,.329453900
17,2.812388932849e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1418832242489,Volt DC,10,T,2W,F,F,11/06/2020,23:06:19,.516686140
18,5.721714768647e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1211599931121,Volt DC,10,T,2W,F,F,11/06/2020,23:06:20,.703936400
19,3.677558035875e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1797960698605,Volt DC,10,T,2W,F,F,11/06/2020,23:06:21,.704970920
20,2.324583414648e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1023336499929,Volt DC,10,T,2W,F,F,11/06/2020,23:06:22,.374954200
21,-3.216153343644e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2392374128103,Volt DC,10,T,2W,F,F,11/06/2020,23:06:23,.562220520
22,-1.725789844365e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2205065786839,Volt DC,10,T,2W,F,F,11/06/2020,23:06:24,.749432980
23,2.810748300774e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1287993341684,Volt DC,10,T,2W,F,F,11/06/2020,23:06:25,.936649360
24,2.026492307294e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1518993079662,Volt DC,10,T,2W,F,F,11/06/2020,23:06:27,.123918980
25,-2.31302688114e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1633933037519,Volt DC,10,T,2W,F,F,11/06/2020,23:06:28,.311139160
26,3.504582180014e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2496882826090,Volt DC,10,T,2W,F,F,11/06/2020,23:06:29,.312150080
27,5.397071678459e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2053611874580,Volt DC,10,T,2W,F,F,11/06/2020,23:06:29,.982139540
