Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,301
Base Time Seconds,1604703481
Base Time Fractional,.738640240
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.942309507148e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.8947235345840,Volt DC,10,T,2W,F,F,11/06/2020,22:58:01,.738640240
2,1.94034316392e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0097891092300,Volt DC,10,T,2W,F,F,11/06/2020,22:58:02,.739695020
3,3.035039952692e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.9041806459427,Volt DC,10,T,2W,F,F,11/06/2020,22:58:03,.409717860
4,7.518930478234e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0297728180885,Volt DC,10,T,2W,F,F,11/06/2020,22:58:04,.410771680
5,3.110166701958e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.8812761306763,Volt DC,10,T,2W,F,F,11/06/2020,22:58:05,.080763320
6,2.344481497829e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0497185885906,Volt DC,10,T,2W,F,F,11/06/2020,22:58:06,.081859440
7,3.198086062639e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.8674389123917,Volt DC,10,T,2W,F,F,11/06/2020,22:58:06,.751872320
8,3.298987305556e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0696723908186,Volt DC,10,T,2W,F,F,11/06/2020,22:58:07,.752914060
9,3.341313004057e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.8629233837128,Volt DC,10,T,2W,F,F,11/06/2020,22:58:08,.422874160
10,6.427553600474e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0900242105126,Volt DC,10,T,2W,F,F,11/06/2020,22:58:09,.423945840
11,3.482892907414e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.8380603790283,Volt DC,10,T,2W,F,F,11/06/2020,22:58:10,.093924080
12,1.125848214656e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099642440677,Volt DC,10,T,2W,F,F,11/06/2020,22:58:11,.094955960
13,1.367403879016e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199560835958,Volt DC,10,T,2W,F,F,11/06/2020,22:58:11,.723415480
14,1.829555884569e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1298903524876,Volt DC,10,T,2W,F,F,11/06/2020,22:58:12,.351861140
15,2.301722190623e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1398810744286,Volt DC,10,T,2W,F,F,11/06/2020,22:58:12,.980330280
16,4.417846355409e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.8266224861145,Volt DC,10,T,2W,F,F,11/06/2020,22:58:13,.284621800
17,3.835472384139e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1598221808672,Volt DC,10,T,2W,F,F,11/06/2020,22:58:14,.285684940
18,4.99731953596e-08,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1698267012835,Volt DC,10,T,2W,F,F,11/06/2020,22:58:14,.914155320
19,6.101451788254e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.9583419561386,Volt DC,10,T,2W,F,F,11/06/2020,22:58:15,.218401760
