Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,301
Base Time Seconds,1604701846
Base Time Fractional,.013345000
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.929781667798e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.4725676774979,Volt DC,10,T,2W,F,F,11/06/2020,22:30:46,.013345000
2,1.933920579233e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.4657306671143,Volt DC,10,T,2W,F,F,11/06/2020,22:30:46,.508238600
3,-5.662264060402e-12,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0197802074254,Volt DC,10,T,2W,F,F,11/06/2020,22:30:47,.509280300
4,1.955278960963e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.4678554534912,Volt DC,10,T,2W,F,F,11/06/2020,22:30:48,.179362640
5,-1.90115034826e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0397137105465,Volt DC,10,T,2W,F,F,11/06/2020,22:30:49,.180422140
6,2.323159975504e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.5563629865646,Volt DC,10,T,2W,F,F,11/06/2020,22:30:49,.850420800
7,2.260436460233e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.5960240364075,Volt DC,10,T,2W,F,F,11/06/2020,22:30:50,.345295620
8,1.315558356696e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0696680098772,Volt DC,10,T,2W,F,F,11/06/2020,22:30:51,.346350220
9,1.964056828285e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.4294508695602,Volt DC,10,T,2W,F,F,11/06/2020,22:30:52,.016371440
10,-2.710688964958e-11,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0900110155344,Volt DC,10,T,2W,F,F,11/06/2020,22:30:53,.017449620
11,1.990935416529e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.4143302440643,Volt DC,10,T,2W,F,F,11/06/2020,22:30:53,.687449960
12,-6.201819613416e-11,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099755465984,Volt DC,10,T,2W,F,F,11/06/2020,22:30:54,.688525540
13,1.993793929955e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.4055871963501,Volt DC,10,T,2W,F,F,11/06/2020,22:30:55,.358540080
14,7.615814923145e-11,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1298963427544,Volt DC,10,T,2W,F,F,11/06/2020,22:30:56,.359625160
15,2.013908328991e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3938533067703,Volt DC,10,T,2W,F,F,11/06/2020,22:30:57,.029678920
16,-1.306282165769e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1498609334230,Volt DC,10,T,2W,F,F,11/06/2020,22:30:58,.030714140
17,1.985731046261e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3357274532318,Volt DC,10,T,2W,F,F,11/06/2020,22:30:58,.700711600
18,7.003123775329e-11,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1698300838470,Volt DC,10,T,2W,F,F,11/06/2020,22:30:59,.701774240
19,2.000422938409e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3187770843506,Volt DC,10,T,2W,F,F,11/06/2020,22:31:00,.371805180
20,-4.319031590705e-11,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1898037493229,Volt DC,10,T,2W,F,F,11/06/2020,22:31:01,.372909580
21,2.038101243329e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3511049747467,Volt DC,10,T,2W,F,F,11/06/2020,22:31:02,.042952720
22,4.609791021126e-11,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2097809612751,Volt DC,10,T,2W,F,F,11/06/2020,22:31:03,.044016360
23,2.049366720769e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3373358249664,Volt DC,10,T,2W,F,F,11/06/2020,22:31:03,.714097740
24,-2.30192448436e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2297132760286,Volt DC,10,T,2W,F,F,11/06/2020,22:31:04,.715181080
25,2.055192638295e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3165863752365,Volt DC,10,T,2W,F,F,11/06/2020,22:31:05,.385227540
26,1.741251171028e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2496777623892,Volt DC,10,T,2W,F,F,11/06/2020,22:31:06,.386280880
27,2.08433235116e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3159517049789,Volt DC,10,T,2W,F,F,11/06/2020,22:31:07,.056288100
28,-1.215652578601e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2700208127499,Volt DC,10,T,2W,F,F,11/06/2020,22:31:08,.057409240
