Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,301
Base Time Seconds,1604700246
Base Time Fractional,.759171900
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.63986421664e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0001877589966,Volt DC,10,T,2W,F,F,11/06/2020,22:04:06,.759171900
2,3.197032638624e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0097957756370,Volt DC,10,T,2W,F,F,11/06/2020,22:04:07,.946448360
3,3.777526624837e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0197643525898,Volt DC,10,T,2W,F,F,11/06/2020,22:04:09,.133733840
4,6.269949559545e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0297916121781,Volt DC,10,T,2W,F,F,11/06/2020,22:04:10,.321018680
5,8.442207488635e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0397118553519,Volt DC,10,T,2W,F,F,11/06/2020,22:04:11,.508251880
6,1.256438730834e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0497126355767,Volt DC,10,T,2W,F,F,11/06/2020,22:04:12,.695503620
7,1.781465863715e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0597053728998,Volt DC,10,T,2W,F,F,11/06/2020,22:04:13,.882758080
8,2.359978212851e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0696325153112,Volt DC,10,T,2W,F,F,11/06/2020,22:04:15,.070006860
9,1.915401837138e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0801153108478,Volt DC,10,T,2W,F,F,11/06/2020,22:04:16,.439844920
10,7.82605358296e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0899331197143,Volt DC,10,T,2W,F,F,11/06/2020,22:04:17,.809637800
11,5.892122345585e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999937430024,Volt DC,10,T,2W,F,F,11/06/2020,22:04:18,.996892760
12,6.967425303372e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1099565327168,Volt DC,10,T,2W,F,F,11/06/2020,22:04:20,.184151440
13,9.133866107902e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1199089661241,Volt DC,10,T,2W,F,F,11/06/2020,22:04:21,.371431500
14,1.168212993008e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1298291832209,Volt DC,10,T,2W,F,F,11/06/2020,22:04:21,.866293720
15,1.488795309257e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1398310065269,Volt DC,10,T,2W,F,F,11/06/2020,22:04:22,.361142400
